# source: resources/Workstream 2 - Schema and Data Model/Cell Science Metadata/AICS_AIND_Data_Schema_Field_Crosswalk.xlsx
# original kept: yes


### sheet: Summary

AICS to AIND Data Schema Gap Analysis
Pinned reference: aind-data-schema v2.9.0 | Source: AICS candidate schema 0.6.0 slim REMBI-categorized primary-image view
Source records | 33184
Top-level fields | 186
Nested child fields | 49
AIND required checks | 42
Reference version | aind-data-schema v2.9.0
Prepared | 2026-08-25 16:00:00
Top-level mapping status | Count | Share |  | AIND required-gap severity | Count
Direct | 11 | 0.05913978494623656 |  | High | 28
Partial | 75 | 0.4032258064516129 |  | Medium | 9
Extension container | 48 | 0.25806451612903225 |  | Low | 5
No first-class analog | 23 | 0.12365591397849462
Platform or manifest | 10 | 0.053763440860215055
Derived/search-only | 19 | 0.10215053763440861
Interpretation
Only 11 top-level fields have a direct semantic destination. Direct mapping does not make the surrounding AIND object valid: 42 required or conditionally required target checks were assessed separately, and 28 are high-severity gaps. The dominant blockers are acquisition-level aggregation, cell-line/specimen identity, timing and device configuration, plate/well design, and missing administrative provenance.

### sheet: Top-level Crosswalk

Top-level AICS to AIND Crosswalk
All 186 physical top-level fields in the supplied Parquet view. Filters and conditional colors are enabled.
AICS field | AICS category | Description | AICS type | Requirement | Nested path | AIND target | Mapping status | Severity | Recommendation | Mapping note | Resolution layer | Reference version | Reference URL
laser_power_raw | Image Acquisition | Harmonized metadata field for laser power raw. | string | optional |  | Channel.light_sources[].power or notes | Partial | Medium | R4 | Parse numeric value and unit; retain unparseable source text in notes. | Portable schema | aind-data-schema v2.9.0 | https://github.com/AllenNeuralDynamics/aind-data-schema/tree/v2.9.0
camera_alignment_matrix | Image Acquisition | Harmonized metadata field for camera alignment matrix. | string | optional |  | Image.image_to_acquisition_transform | Partial | Medium | R4 | Matrix must be parsed into an AIND transform and coordinate system. | Portable schema | aind-data-schema v2.9.0 | https://github.com/AllenNeuralDynamics/aind-data-schema/tree/v2.9.0
plate_barcode | Experimental Design & Layout | Harmonized metadata field for plate barcode. | string | optional |  | No first-class AIND plate/well model; possible SpecimenProcedure.protocol_parameters | No first-class analog | High | R3 | Plate/well identity and experimental layout would be untyped or lost. | Portable schema | aind-data-schema v2.9.0 | https://github.com/AllenNeuralDynamics/aind-data-schema/tree/v2.9.0
plate_format | Experimental Design & Layout | Harmonized metadata field for plate format. | int64 | optional |  | No first-class AIND plate/well model; possible SpecimenProcedure.protocol_parameters | No first-class analog | High | R3 | Plate/well identity and experimental layout would be untyped or lost. | Portable schema | aind-data-schema v2.9.0 | https://github.com/AllenNeuralDynamics/aind-data-schema/tree/v2.9.0
plate_model | Experimental Design & Layout | Harmonized metadata field for plate model. | string | optional |  | No first-class AIND plate/well model; possible SpecimenProcedure.protocol_parameters | No first-class analog | High | R3 | Plate/well identity and experimental layout would be untyped or lost. | Portable schema | aind-data-schema v2.9.0 | https://github.com/AllenNeuralDynamics/aind-data-schema/tree/v2.9.0
plate_use_type | Experimental Design & Layout | Harmonized metadata field for plate use type. | string | optional |  | No first-class AIND plate/well model; possible SpecimenProcedure.protocol_parameters | No first-class analog | High | R3 | Plate/well identity and experimental layout would be untyped or lost. | Portable schema | aind-data-schema v2.9.0 | https://github.com/AllenNeuralDynamics/aind-data-schema/tree/v2.9.0
plate_layout | Experimental Design & Layout | Harmonized metadata field for plate layout. | string | optional |  | No first-class AIND plate/well model; possible SpecimenProcedure.protocol_parameters | No first-class analog | High | R3 | Plate/well identity and experimental layout would be untyped or lost. | Portable schema | aind-data-schema v2.9.0 | https://github.com/AllenNeuralDynamics/aind-data-schema/tree/v2.9.0
well | Experimental Design & Layout | Harmonized metadata field for well. | string | optional |  | No first-class AIND plate/well model; possible SpecimenProcedure.protocol_parameters | No first-class analog | High | R3 | Plate/well identity and experimental layout would be untyped or lost. | Portable schema | aind-data-schema v2.9.0 | https://github.com/AllenNeuralDynamics/aind-data-schema/tree/v2.9.0
well_group | Experimental Design & Layout | Harmonized metadata field for well group. | string | optional |  | No first-class AIND plate/well model; possible SpecimenProcedure.protocol_parameters | No first-class analog | High | R3 | Plate/well identity and experimental layout would be untyped or lost. | Portable schema | aind-data-schema v2.9.0 | https://github.com/AllenNeuralDynamics/aind-data-schema/tree/v2.9.0
scene_index | Image Acquisition | Harmonized metadata field for scene index. | int64 | optional |  | ImagingConfig.images[] / image transform / file-manifest extension | Partial | Medium | R4/R5 | AIND imaging objects capture some geometry but not a generic TCZYX file-header model. | Portable schema | aind-data-schema v2.9.0 | https://github.com/AllenNeuralDynamics/aind-data-schema/tree/v2.9.0
fov_index | Image Acquisition | Harmonized metadata field for fov index. | int64 | optional |  | ImagingConfig.images[] / image transform / file-manifest extension | Partial | Medium | R4/R5 | AIND imaging objects capture some geometry but not a generic TCZYX file-header model. | Portable schema | aind-data-schema v2.9.0 | https://github.com/AllenNeuralDynamics/aind-data-schema/tree/v2.9.0
position_index | Image Acquisition | Harmonized metadata field for position index. | int64 | optional |  | ImagingConfig.images[] / image transform / file-manifest extension | Partial | Medium | R4/R5 | AIND imaging objects capture some geometry but not a generic TCZYX file-header model. | Portable schema | aind-data-schema v2.9.0 | https://github.com/AllenNeuralDynamics/aind-data-schema/tree/v2.9.0
axis_order | Image Data & File Asset | Harmonized metadata field for axis order. | string | optional |  | ImagingConfig.images[] / image transform / file-manifest extension | Partial | Medium | R4/R5 | AIND imaging objects capture some geometry but not a generic TCZYX file-header model. | Portable schema | aind-data-schema v2.9.0 | https://github.com/AllenNeuralDynamics/aind-data-schema/tree/v2.9.0
acquisition_dimension_order | Image Acquisition | Harmonized metadata field for acquisition dimension order. | string | optional |  | ImagingConfig.images[] / image transform / file-manifest extension | Partial | Medium | R4/R5 | AIND imaging objects capture some geometry but not a generic TCZYX file-header model. | Portable schema | aind-data-schema v2.9.0 | https://github.com/AllenNeuralDynamics/aind-data-schema/tree/v2.9.0
image_dimensionality | Image Data & File Asset | Harmonized metadata field for image dimensionality. | string | optional |  | ImagingConfig.images[] / image transform / file-manifest extension | Partial | Medium | R4/R5 | AIND imaging objects capture some geometry but not a generic TCZYX file-header model. | Portable schema | aind-data-schema v2.9.0 | https://github.com/AllenNeuralDynamics/aind-data-schema/tree/v2.9.0
image_size_t | Image Data & File Asset | Harmonized metadata field for image size t. | int64 | optional |  | ImagingConfig.images[] / image transform / file-manifest extension | Partial | Medium | R4/R5 | AIND imaging objects capture some geometry but not a generic TCZYX file-header model. | Portable schema | aind-data-schema v2.9.0 | https://github.com/AllenNeuralDynamics/aind-data-schema/tree/v2.9.0
image_size_c | Image Data & File Asset | Harmonized metadata field for image size c. | int64 | optional |  | ImagingConfig.images[] / image transform / file-manifest extension | Partial | Medium | R4/R5 | AIND imaging objects capture some geometry but not a generic TCZYX file-header model. | Portable schema | aind-data-schema v2.9.0 | https://github.com/AllenNeuralDynamics/aind-data-schema/tree/v2.9.0
acquisition_channel_count | Image Acquisition | Harmonized metadata field for acquisition channel count. | int64 | optional |  | ImagingConfig.images[] / image transform / file-manifest extension | Partial | Medium | R4/R5 | AIND imaging objects capture some geometry but not a generic TCZYX file-header model. | Portable schema | aind-data-schema v2.9.0 | https://github.com/AllenNeuralDynamics/aind-data-schema/tree/v2.9.0
image_size_z | Image Data & File Asset | Harmonized metadata field for image size z. | int64 | optional |  | ImagingConfig.images[] / image transform / file-manifest extension | Partial | Medium | R4/R5 | AIND imaging objects capture some geometry but not a generic TCZYX file-header model. | Portable schema | aind-data-schema v2.9.0 | https://github.com/AllenNeuralDynamics/aind-data-schema/tree/v2.9.0
image_size_y | Image Data & File Asset | Harmonized metadata field for image size y. | int64 | optional |  | ImagingConfig.images[] / image transform / file-manifest extension | Partial | Medium | R4/R5 | AIND imaging objects capture some geometry but not a generic TCZYX file-header model. | Portable schema | aind-data-schema v2.9.0 | https://github.com/AllenNeuralDynamics/aind-data-schema/tree/v2.9.0
image_size_x | Image Data & File Asset | Harmonized metadata field for image size x. | int64 | optional |  | ImagingConfig.images[] / image transform / file-manifest extension | Partial | Medium | R4/R5 | AIND imaging objects capture some geometry but not a generic TCZYX file-header model. | Portable schema | aind-data-schema v2.9.0 | https://github.com/AllenNeuralDynamics/aind-data-schema/tree/v2.9.0
pixel_size_x_um | Image Data & File Asset | Harmonized metadata field for pixel size x um. | double | optional |  | ImagingConfig.images[] / image transform / file-manifest extension | Partial | Medium | R4/R5 | AIND imaging objects capture some geometry but not a generic TCZYX file-header model. | Portable schema | aind-data-schema v2.9.0 | https://github.com/AllenNeuralDynamics/aind-data-schema/tree/v2.9.0
pixel_size_y_um | Image Data & File Asset | Harmonized metadata field for pixel size y um. | double | optional |  | ImagingConfig.images[] / image transform / file-manifest extension | Partial | Medium | R4/R5 | AIND imaging objects capture some geometry but not a generic TCZYX file-header model. | Portable schema | aind-data-schema v2.9.0 | https://github.com/AllenNeuralDynamics/aind-data-schema/tree/v2.9.0
pixel_size_z_um | Image Data & File Asset | Harmonized metadata field for pixel size z um. | double | optional |  | ImagingConfig.images[] / image transform / file-manifest extension | Partial | Medium | R4/R5 | AIND imaging objects capture some geometry but not a generic TCZYX file-header model. | Portable schema | aind-data-schema v2.9.0 | https://github.com/AllenNeuralDynamics/aind-data-schema/tree/v2.9.0
nominal_pixel_size_z_um | Image Data & File Asset | Harmonized metadata field for nominal pixel size z um. | double | optional |  | ImagingConfig.images[] / image transform / file-manifest extension | Partial | Medium | R4/R5 | AIND imaging objects capture some geometry but not a generic TCZYX file-header model. | Portable schema | aind-data-schema v2.9.0 | https://github.com/AllenNeuralDynamics/aind-data-schema/tree/v2.9.0
raw_image_shape_tczyx | Image Data & File Asset | Harmonized metadata field for raw image shape tczyx. | string | optional |  | ImagingConfig.images[] / image transform / file-manifest extension | Partial | Medium | R4/R5 | AIND imaging objects capture some geometry but not a generic TCZYX file-header model. | Portable schema | aind-data-schema v2.9.0 | https://github.com/AllenNeuralDynamics/aind-data-schema/tree/v2.9.0
raw_image_dimensions_zyx | Image Data & File Asset | Harmonized metadata field for raw image dimensions zyx. | string | optional |  | ImagingConfig.images[] / image transform / file-manifest extension | Partial | Medium | R4/R5 | AIND imaging objects capture some geometry but not a generic TCZYX file-header model. | Portable schema | aind-data-schema v2.9.0 | https://github.com/AllenNeuralDynamics/aind-data-schema/tree/v2.9.0
raw_image_physical_size_zyx_um | Image Data & File Asset | Harmonized metadata field for raw image physical size zyx um. | string | optional |  | ImagingConfig.images[] / image transform / file-manifest extension | Partial | Medium | R4/R5 | AIND imaging objects capture some geometry but not a generic TCZYX file-header model. | Portable schema | aind-data-schema v2.9.0 | https://github.com/AllenNeuralDynamics/aind-data-schema/tree/v2.9.0
raw_voxel_size_zyx_um | Image Data & File Asset | Harmonized metadata field for raw voxel size zyx um. | string | optional |  | ImagingConfig.images[] / image transform / file-manifest extension | Partial | Medium | R4/R5 | AIND imaging objects capture some geometry but not a generic TCZYX file-header model. | Portable schema | aind-data-schema v2.9.0 | https://github.com/AllenNeuralDynamics/aind-data-schema/tree/v2.9.0
is_timelapse | Image Data & File Asset | Harmonized metadata field for is timelapse. | bool | optional |  | acquisition_type / ImagingConfig.sampling_strategy | Partial | Medium | R4 | Derive from acquisition timing; no direct boolean field. | Portable schema | aind-data-schema v2.9.0 | https://github.com/AllenNeuralDynamics/aind-data-schema/tree/v2.9.0
timepoint_count | Image Data & File Asset | Harmonized metadata field for timepoint count. | int64 | optional |  | ImagingConfig.sampling_strategy or configuration parameters | Partial | Medium | R4 | No universal typed timepoint-count field on AIND images. | Portable schema | aind-data-schema v2.9.0 | https://github.com/AllenNeuralDynamics/aind-data-schema/tree/v2.9.0
interval_minutes | Image Data & File Asset | Harmonized metadata field for interval minutes. | double | optional |  | ImagingConfig.sampling_strategy or configuration parameters | Partial | Medium | R4 | No universal typed interval field on AIND images. | Portable schema | aind-data-schema v2.9.0 | https://github.com/AllenNeuralDynamics/aind-data-schema/tree/v2.9.0
duration_minutes | Image Data & File Asset | Harmonized metadata field for duration minutes. | double | optional |  | derive acquisition/data_stream end time | Partial | High | R4 | Can derive an end time only when a trustworthy start time is present. | Portable schema | aind-data-schema v2.9.0 | https://github.com/AllenNeuralDynamics/aind-data-schema/tree/v2.9.0
qc_status | Governance, Provenance & Quality | Harmonized metadata field for qc status. | string | optional |  | quality_control.status | Direct | Low | R8 | Normalize AICS status labels to the AIND status representation. | Portable schema | aind-data-schema v2.9.0 | https://github.com/AllenNeuralDynamics/aind-data-schema/tree/v2.9.0
source_qc_flag | Governance, Provenance & Quality | Harmonized metadata field for source qc flag. | string | optional |  | quality_control.metrics[].status_history/value | Partial | Medium | R8 | Create a named QCMetric with modality, stage, and status provenance. | Portable schema | aind-data-schema v2.9.0 | https://github.com/AllenNeuralDynamics/aind-data-schema/tree/v2.9.0
intended_use | Image Data & File Asset | Harmonized metadata field for intended use. | string | optional |  | Registry policy / data_description.data_summary or restrictions | Partial | Medium | R9/R10 | Route portable scientific meaning separately from platform governance. | Portable schema | aind-data-schema v2.9.0 | https://github.com/AllenNeuralDynamics/aind-data-schema/tree/v2.9.0
usage_considerations | Image Data & File Asset | Harmonized metadata field for usage considerations. | string | optional |  | Registry policy / data_description.data_summary or restrictions | Partial | Medium | R9/R10 | Route portable scientific meaning separately from platform governance. | Portable schema | aind-data-schema v2.9.0 | https://github.com/AllenNeuralDynamics/aind-data-schema/tree/v2.9.0
experiment_date | Experimental Design & Layout | Harmonized metadata field for experiment date. | string | optional |  | acquisition.acquisition_start_time or SpecimenProcedure.start_date | Partial | High | R4 | The intended event and time precision must be resolved. | Portable schema | aind-data-schema v2.9.0 | https://github.com/AllenNeuralDynamics/aind-data-schema/tree/v2.9.0
source_experiment_date | Experimental Design & Layout | Harmonized metadata field for source experiment date. | string | optional |  | notes or provenance extension | Partial | Medium | R10 | Retain for provenance after a normalized acquisition date is established. | Portable schema | aind-data-schema v2.9.0 | https://github.com/AllenNeuralDynamics/aind-data-schema/tree/v2.9.0
plate_seeded_at | Specimen & Experimental Conditions | Harmonized metadata field for plate seeded at. | string | optional |  | procedures.specimen_procedures[].protocol_parameters/procedure_details | Extension container | Medium | R6 | Can be retained in flexible parameters, but semantics, units, and vocabulary are not first-class. | Portable schema | aind-data-schema v2.9.0 | https://github.com/AllenNeuralDynamics/aind-data-schema/tree/v2.9.0
fish_experiment_date | Specimen & Experimental Conditions | Harmonized metadata field for fish experiment date. | string | optional |  | procedures.specimen_procedures[].protocol_parameters/procedure_details | Extension container | Medium | R6 | Can be retained in flexible parameters, but semantics, units, and vocabulary are not first-class. | Portable schema | aind-data-schema v2.9.0 | https://github.com/AllenNeuralDynamics/aind-data-schema/tree/v2.9.0
fixation_date | Specimen & Experimental Conditions | Harmonized metadata field for fixation date. | string | optional |  | procedures.specimen_procedures[].protocol_parameters/procedure_details | Extension container | Medium | R6 | Can be retained in flexible parameters, but semantics, units, and vocabulary are not first-class. | Portable schema | aind-data-schema v2.9.0 | https://github.com/AllenNeuralDynamics/aind-data-schema/tree/v2.9.0
replate_date | Specimen & Experimental Conditions | Harmonized metadata field for replate date. | string | optional |  | procedures.specimen_procedures[].protocol_parameters/procedure_details | Extension container | Medium | R6 | Can be retained in flexible parameters, but semantics, units, and vocabulary are not first-class. | Portable schema | aind-data-schema v2.9.0 | https://github.com/AllenNeuralDynamics/aind-data-schema/tree/v2.9.0
processing_date | Processing, Analysis & Derived Data | Harmonized metadata field for processing date. | string | optional |  | processing.data_processes[].start_date_time | Partial | High | R7 | A date alone lacks timezone, end time, process identity, and responsible experimenter. | Portable schema | aind-data-schema v2.9.0 | https://github.com/AllenNeuralDynamics/aind-data-schema/tree/v2.9.0
imaging_at | Image Acquisition | Harmonized metadata field for imaging at. | string | optional |  | acquisition.acquisition_start_time | Partial | High | R4 | Likely start time, but timezone and end time must be supplied or derived. | Portable schema | aind-data-schema v2.9.0 | https://github.com/AllenNeuralDynamics/aind-data-schema/tree/v2.9.0
cell_age_at_imaging_days | Specimen & Experimental Conditions | Harmonized metadata field for cell age at imaging days. | double | optional |  | procedures.specimen_procedures[].protocol_parameters/procedure_details | Extension container | Medium | R6 | Can be retained in flexible parameters, but semantics, units, and vocabulary are not first-class. | Portable schema | aind-data-schema v2.9.0 | https://github.com/AllenNeuralDynamics/aind-data-schema/tree/v2.9.0
